jersey_number,nationality_name,name,birth,high,weight
13,Poland,Jakub Kamiński,05.06.2002,178,68
17,Poland,Szymon Zurkowski,25.09.1997,183,82
19,Poland,Sebastian Szymanski,10.05.1999,174,58
20,Poland,Piotr Zielinski,20.05.1994,177,64
24,Poland,Przemyslaw Frankowski,12.04.1995,176,70
26,Poland,Michał Skóraś,15.02.2000,172,64
21,Poland,Nicola Zalewski,21.01.2002,175,60
7,Poland,Arkadiusz Milik,28.02.1994,186,78
9,Poland,Robert Lewandowski,21.08.1988,184,80
11,Poland,Kamil Grosicki,08.06.1988,180,78
16,Poland,Karol Świderski,23.01.1997,184,77
23,Poland,Krzysztof Piątek,01.05.1995,183,77
1,France,Hugo Lloris,26.12.1986,188,78
16,France,Steve Mandanda,28.03.1985,185,82
23,France,Alphonse Areola,27.03.1993,195,94
2,France,Benjamin Pavard,28.03.1996,186,76
3,France,Axel Disasi,11.03.1998,190,86
4,France,Raphael Varane,25.04.1993,191,81
5,France,Jules Kounde,12.11.1998,178,70
17,France,William Saliba,24.03.2001,193,78
18,France,Dayot Upamecano,27.10.1998,186,90
21,France,Lucas Hernandez,14.02.1996,182,78
22,France,Theo Hernández,06.10.1997,184,81
24,France,Ibrahima Konaté,25.05.1999,194,95
13,France,Youssouf Fofana,10.01.1999,184,74
6,France,Matteo Guendouzi,14.04.1999,184,80
8,France,Aurélien Tchouaméni,27.01.2000,185,73
14,France,Adrien Rabiot,03.04.1995,188,71
15,France,Jordan Veretout,01.03.1993,177,67
20,France,Kingsley Coman,13.06.1996,179,75
25,France,Eduardo Camavinga,10.11.2002,182,72
7,France,Antoine Griezmann,21.03.1991,176,73
9,France,Olivier Giroud,30.09.1986,193,91
10,France,Kylian Mbappé,20.12.1998,178,73
11,France,Ousmane Dembele,15.05.1997,178,67
12,France,Kolo Muani,05.12.1998,187,73
19,France,Karim Benzema,19.12.1987,185,81
26,France,Marcus Thuram,06.08.1997,188,79
0,Costa Rica,Alvarado,28.04.1989,193,83
0,Costa Rica,Sequeira P.,01.03.1999,190,70
1,Costa Rica,Keylor Navas,15.12.1986,184,78
0,Costa Rica,Keysher Fuller,12.07.1994,183,0
0,Costa Rica,Carlos Martinez,30.03.1999,176,0
6,Costa Rica,Óscar Duarte,03.06.1989,186,81
8,Costa Rica,Bryan Oviedo,18.02.1990,172,70
15,Costa Rica,Calvo F.,08.07.1992,181,80
19,Costa Rica,Waston,01.01.1988,196,86
22,Costa Rica,Matarrita,09.07.1994,175,70
0,Costa Rica,Vargas J. P.,06.06.1995,192,0
0,Costa Rica,Gerson Torres,28.08.1997,176,0
0,Costa Rica,Daniel Chacon,11.04.2001,183,0
0,Costa Rica,Youstin Salas,17.06.1996,173,0
0,Costa Rica,Roan Wilson,01.05.2002,184,0
0,Costa Rica,Brandon Aguilera,28.06.2003,181,0
0,Costa Rica,Douglas Lopez,21.09.1998,180,0
0,Costa Rica,Alvaro Zamora,09.03.2002,183,0
11,Costa Rica,Venegas,27.11.1988,183,78
17,Costa Rica,Yeltsin Tejeda,17.03.1992,179,79
0,Costa Rica,Jewison Bennette,15.06.2004,175,0
0,Costa Rica,Anthony Hernandez,11.10.2001,180,0
5,Costa Rica,Borges C.,27.05.1988,186,79
0,Costa Rica,Anthony Contreras,29.01.2000,180,0
10,Costa Rica,Ruiz,18.08.1985,188,78
12,Costa Rica,Joel Campbell,26.06.1992,178,71
0,South Korea,Kim Seunggyu,30.09.1990,187,76
12,South Korea,Song Bum-keun,15.10.1997,0,0
21,South Korea,Jo Hyeonwoo,25.09.1991,189,85
0,South Korea,Jin-Su Kim,13.06.1992,176,67
0,South Korea,Kim Min-jae,15.11.1996,190,78
0,South Korea,Yoon Jong-gyu,20.03.1998,0,0
14,South Korea,Hong Chul,17.09.1990,176,76
19,South Korea,Kim Younggwon,27.02.1990,184,74
0,South Korea,Jung Wooyoung,14.12.1989,186,82
0,South Korea,Kim Moon-hwan,01.01.1970,0,0
6,South Korea,Hwang In-beom,20.09.1996,177,70
8,South Korea,Seung-ho Paik,17.03.1997,182,68
10,South Korea,Lee Jae-sung,10.08.1992,180,70
13,South Korea,Son Jun-ho,12.05.1992,0,0
20,South Korea,Kwon Kyung-won,31.01.1992,0,0
22,South Korea,Changhoon Kwon,30.06.1994,173,71
23,South Korea,Kim Tae-hwan,24.07.1989,0,0
24,South Korea,Cho Yu-min,17.11.1996,0,0
25,South Korea,Wooyeong Jeong,20.09.1999,179,74
18,South Korea,Lee Kang-in,19.02.2001,173,68
7,South Korea,Son Heungmin,08.07.1992,183,79
9,South Korea,Cho Gue-sung,25.01.1998,0,0
11,South Korea,Heechan Hwang,26.01.1996,177,77
16,South Korea,Hwang Ui-jo,28.08.1992,184,73
17,South Korea,Na Sang-ho,12.08.1996,0,0
26,South Korea,Song Min-kyu,12.09.1999,0,0
1,Qatar,Saad Al Sheeb,19.02.1990,185,79
21,Qatar,Yousef Hassan,24.05.1996,186,76
22,Qatar,Meshaal Barsham,14.02.1998,180,0
2,Qatar,Ró-Ró,08.06.1990,188,76
3,Qatar,Abdelkarim Hassan,28.08.1993,186,79
5,Qatar,Tarek Salman,05.12.1997,179,68
13,Qatar,Musab Khoder,01.01.1993,174,0
14,Qatar,Homam Ahmed,25.08.1999,186,0
15,Qatar,Bassam Al-Rawi,16.12.1997,175,68
23,Qatar,Assim Madibo,22.10.1996,168,73
25,Qatar,Jassem Ghaber,20.02.2002,0,0
4,Qatar,Mohammed Abdulwahab,18.09.1999,183,0
20,Qatar,Salem Al-Hajri,10.04.1996,183,75
6,Qatar,Abdulaziz Hatem,01.01.1990,182,76
12,Qatar,Karim Boudiaf,16.09.1990,190,88
16,Qatar,Boualem Khoukhi,09.07.1990,183,76
26,Qatar,Mashaal Tarek,28.03.2001,0,0
8,Qatar,Ali Assadalla,01.01.1970,175,0
17,Qatar,Ismaeel Mohammed,05.04.1990,168,0
18,Qatar,Mazeed,24.02.1998,174,0
24,Qatar,Naif Al-Hadhrami,01.01.1970,0,0
7,Qatar,Ahmed Alaaeldin,31.01.1993,180,67
9,Qatar,Mohammed Muntari,20.12.1993,194,0
10,Qatar,Hassan Al-Haydos,11.12.1990,174,65
11,Qatar,Afif Ak.,18.11.1996,177,69
19,Qatar,Almoez Ali,19.08.1996,184,68
0,Japan,Shuichi Gonda,03.03.1989,187,83
0,Japan,Daniel Schmidt,03.02.1992,197,88
1,Japan,Eiji Kawashima,20.03.1983,185,82
0,Japan,Yuto Nagatomo,12.09.1986,170,65
0,Japan,Hiroki Sakai,12.04.1990,183,70
0,Japan,Maya Yoshida,24.08.1988,189,79
0,Japan,Wataru Endo,09.02.1993,178,73
0,Japan,Hiroki Ito,12.05.1999,188,78
0,Japan,Miki Yamane,22.12.1993,178,0
0,Japan,Shogo Taniguchi,15.07.1991,183,0
4,Japan,Ko Itakura,27.01.1997,186,75
16,Japan,Takehiro Tomiyasu,05.11.1998,188,78
0,Japan,Ritsu Doan,16.06.1998,172,70
0,Japan,Hidemasa Morita,10.05.1995,177,75
0,Japan,Ao Tanaka,10.09.1998,180,69
0,Japan,Kaoru Mitoma,20.05.1997,178,72
7,Japan,Gaku Shibasaki,28.05.1992,175,62
21,Japan,Takefusa Kubo,04.06.2001,173,67
0,Japan,Daichi Kamada,05.08.1996,180,72
0,Japan,Yuki Soma,25.02.1997,166,0
0,Japan,Takuma Asano,10.11.1994,171,70
0,Japan,Takumi Minamino,16.01.1995,174,68
0,Japan,Junya Ito,09.03.1993,176,68
0,Japan,Shuto Machino,30.09.1999,185,0
9,Japan,Daizen Maeda,20.10.1997,173,67
13,Japan,Ayase Ueda,28.08.1998,180,72
1,Mexico,Alfredo Talavera,18.09.1982,188,88
12,Mexico,Rodolfo Cota,03.07.1987,183,86
13,Mexico,Ochoa,13.07.1985,183,80
2,Mexico,Araujo N.,29.08.1991,188,87
3,Mexico,César Montes,24.02.1997,191,0
4,Mexico,Edson Alvarez,24.10.1997,186,72
5,Mexico,Johan Vasquez,22.10.1998,182,72
6,Mexico,Arteaga G.,07.09.1998,176,61
15,Mexico,Hector Moreno,17.01.1988,182,80
19,Mexico,Sanchez Jorge,10.12.1997,175,0
26,Mexico,Kevin Álvarez,15.01.1999,176,0
24,Mexico,Luis Chávez,15.01.1996,178,0
7,Mexico,Luis Romo,05.06.1995,183,0
8,Mexico,Carlos Rodríguez,03.01.1997,170,0
14,Mexico,Erick Gutierrez,15.06.1995,179,71
16,Mexico,Hector Herrera,19.04.1990,185,80
17,Mexico,Orbelin Pineda,24.03.1996,169,63
18,Mexico,Guardado,28.09.1986,169,60
22,Mexico,Hirving Lozano,30.07.1995,177,70
23,Mexico,Jesus Gallardo,15.08.1994,177,74
10,Mexico,Alexis Vega,25.11.1997,173,0
25,Mexico,Roberto Alvarado,07.09.1998,176,0
9,Mexico,Raul Jimenez,05.05.1991,190,76
11,Mexico,Funes Mori,05.03.1991,186,0
20,Mexico,Henry Martín,18.11.1992,180,0
21,Mexico,Antuna,21.08.1997,174,59
1,Spain,Sanchez Ro.,18.11.1997,197,90
13,Spain,David Raya,15.09.1995,187,87
23,Spain,Unai Simón,11.06.1997,190,89
2,Spain,Cesar Azpilicueta,28.08.1989,178,78
3,Spain,Eric Garcia,09.01.2001,182,72
4,Spain,Pau Torres,16.01.1997,191,80
14,Spain,Balde Al.,18.10.2003,175,69
15,Spain,Guillamon,31.01.2000,178,62
18,Spain,Jordi Alba,21.03.1989,170,68
20,Spain,Daniel Carvajal,11.01.1992,173,74
22,Spain,Pablo Sarabia,11.05.1992,176,72
24,Spain,Aymeric Laporte,27.05.1994,189,85
5,Spain,Sergio Busquets,16.07.1988,189,76
6,Spain,Marcos Llorente,30.01.1995,184,74
8,Spain,Koke,08.01.1992,176,77
9,Spain,Gavi,05.08.2004,173,68
10,Spain,Marco Asensio,21.01.1996,182,76
16,Spain,Rodri,22.06.1996,190,78
17,Spain,Yeremi Pino,20.10.2002,193,79
19,Spain,Soler,02.01.1997,180,76
21,Spain,Olmo,07.05.1998,179,68
7,Spain,Alvaro Morata,23.10.1992,190,84
11,Spain,Ferrán Torres,29.02.2000,184,77
12,Spain,Nico Williams,12.07.2002,180,67
25,Spain,Fati An.,31.10.2002,178,75
26,Spain,Pedri,25.11.2002,174,61
1,England,Jordan Pickford,07.03.1994,185,77
13,England,Nick Pope,19.04.1992,191,76
23,England,Aaron Ramsdale,14.05.1998,188,80
2,England,Kyle Walker,28.05.1990,178,70
3,England,Luke Shaw,12.07.1995,185,75
5,England,John Stones,28.05.1994,188,70
6,England,Harry Maguire,05.03.1993,188,79
12,England,Kieran Trippier,19.09.1990,173,71
15,England,Eric Dier,15.01.1994,188,63
16,England,Conor Coady,25.02.1993,186,80
18,England,Trent Alexander-Arnold,07.10.1998,175,69
21,England,Ben White,08.11.1997,185,78
26,England,Conor Gallagher,06.02.2000,182,71
4,England,Declan Rice,14.01.1999,185,80
7,England,Jack Grealish,10.09.1995,175,69
8,England,Jordan Henderson,17.06.1990,182,67
10,England,Raheem Sterling,08.12.1994,170,69
14,England,Kalvin Phillips,02.12.1995,178,72
17,England,Bukayo Saka,05.09.2001,178,70
19,England,Mason Mount,10.01.1999,178,70
20,England,Philip Foden,28.05.2000,180,74
22,England,Jude Bellingham,29.06.2003,181,62
25,England,Maddison,23.11.1996,175,73
9,England,Harry Kane,28.07.1993,183,65
11,England,Marcus Rashford,31.10.1997,180,73
24,England,Callum Wilson,27.02.1992,180,66
0,Ghana,Ibrahim Danlad,02.12.2002,0,0
1,Ghana,Nurudeen,08.02.1999,190,76
12,Ghana,Lawrence Ati-Zigi,29.11.1996,189,80
0,Belgium,Denis Odoi,27.05.1988,178,72
0,Ghana,Joseph Aidoo,29.09.1995,180,80
0,Benin,Mohammed Salisu,17.10.1999,187,82
0,Ghana,Gideon Mensah,18.07.1998,177,64
0,England,Tariq Lamptey,30.09.2000,175,69
0,Ghana,Alidu Seidu,04.06.2000,173,68
17,Ghana,Rahman Baba,02.07.1994,185,73
23,Ghana,Alexander Djiku,09.08.1994,182,81
18,Ghana,Daniel Amartey,21.12.1994,186,79
0,France,Elisha Owusu,07.11.1997,179,62
0,Ghana,Kamal Sowah,09.01.2000,179,66
0,Ghana,Abdul Samed,26.03.2000,180,61
5,Ghana,Partey T.,13.06.1993,185,77
0,Ghana,Fatawu,08.03.2004,180,73
10,Ghana,Andre Ayew,17.12.1989,176,74
20,Ghana,Mohammed Kudus,02.08.2000,177,70
22,Ghana,Sulemana,15.02.2002,174,69
0,Spain,Inaki Williams,15.06.1994,186,79
0,England,Antoine Semenyo,07.01.2000,183,77
0,Ghana,Osman Bukari,13.12.1998,170,68
0,Ghana,Daniel Afriyie,26.06.2001,0,0
8,Ghana,Daniel-Kofi Kyereh,08.03.1996,179,73
9,Ghana,Jordan Ayew,11.09.1991,182,80
1,Tunisia,Aymen Balbouli,14.09.1984,182,0
16,Tunisia,Aymen Dahmen,28.01.1997,188,83
22,Tunisia,Ben Saïd,29.11.1994,192,88
26,Tunisia,Mouez Hassen,05.03.1995,184,70
2,Tunisia,Bilel Ifa,09.03.1990,182,74
3,Tunisia,Montassar Talbi,26.05.1998,180,68
4,Tunisia,Yassine Meriah,02.07.1993,188,0
6,Tunisia,Dylan Bronn,19.06.1995,185,76
12,Tunisia,Ali Maâloul,01.01.1990,175,72
14,Tunisia,Aïssa Laïdouni,13.12.1996,183,75
24,Tunisia,Ali Abdi,20.12.1993,183,73
5,Tunisia,Nader Ghandri,18.02.1995,194,88
21,Tunisia,Wajdi Kechrida,05.11.1995,184,77
7,Tunisia,Youssef Msakni,28.10.1990,179,73
8,Tunisia,Hannibal Mejbri,21.01.2003,182,70
10,Tunisia,Wahbi Khazri,08.02.1991,182,78
13,Tunisia,Ferjani Sassi,18.03.1992,186,80
15,Tunisia,Ben Romdhane,06.09.1999,185,75
17,Tunisia,Ellyes Skhiri,10.05.1995,185,69
20,Tunisia,Mohamed Dräger,25.06.1996,178,72
18,Tunisia,Ghailene Chaalali,28.02.1994,179,75
23,Tunisia,Naïm Sliti,27.07.1992,173,75
25,Tunisia,Slimane A.,16.03.2001,188,80
9,Tunisia,Issam Jebali,25.12.1991,189,84
11,Tunisia,Khenissi,06.01.1992,183,0
19,Tunisia,Seifeddine Jaziri,11.02.1993,180,76
